<DATE>	<TIME>	<OPEN>	<HIGH>	<LOW>	<CLOSE>	<TICKVOL>	<VOL>	<SPREAD>
2022.01.03	00:00:00	0.84000	0.84121	0.83892	0.84023	3804	0	2
2022.01.03	04:00:00	0.84024	0.84069	0.83984	0.83992	2844	0	1
2022.01.03	08:00:00	0.83993	0.84045	0.83866	0.83980	7284	0	1
2022.01.03	12:00:00	0.83980	0.84183	0.83965	0.84157	10269	0	1
2022.01.03	16:00:00	0.84157	0.84167	0.83720	0.83759	17074	0	1
2022.01.03	20:00:00	0.83759	0.83839	0.83743	0.83801	5478	0	1
2022.01.04	00:00:00	0.83797	0.83905	0.83714	0.83869	3569	0	1
2022.01.04	04:00:00	0.83869	0.83932	0.83867	0.83932	3042	0	1
2022.01.04	08:00:00	0.83932	0.83944	0.83617	0.83650	10118	0	1
2022.01.04	12:00:00	0.83649	0.83719	0.83457	0.83461	12868	0	1
2022.01.04	16:00:00	0.83460	0.83556	0.83358	0.83430	16593	0	1
2022.01.04	20:00:00	0.83432	0.83448	0.83383	0.83413	5610	0	1
2022.01.05	00:00:00	0.83413	0.83429	0.83337	0.83352	3411	0	1
2022.01.05	04:00:00	0.83351	0.83494	0.83347	0.83481	3235	0	1
2022.01.05	08:00:00	0.83481	0.83558	0.83398	0.83558	7956	0	1
2022.01.05	12:00:00	0.83554	0.83624	0.83472	0.83580	12378	0	1
2022.01.05	16:00:00	0.83580	0.83724	0.83459	0.83462	14270	0	1
2022.01.05	20:00:00	0.83462	0.83480	0.83371	0.83446	11495	0	1
2022.01.06	00:00:00	0.83412	0.83516	0.83357	0.83501	2471	0	2
2022.01.06	04:00:00	0.83501	0.83632	0.83494	0.83578	4490	0	1
2022.01.06	08:00:00	0.83578	0.83721	0.83517	0.83665	10422	0	1
2022.01.06	12:00:00	0.83666	0.83711	0.83513	0.83577	14382	0	1
2022.01.06	16:00:00	0.83577	0.83690	0.83460	0.83482	19871	0	1
2022.01.06	20:00:00	0.83482	0.83497	0.83415	0.83462	5809	0	1
2022.01.07	00:00:00	0.83430	0.83470	0.83368	0.83377	2968	0	1
2022.01.07	04:00:00	0.83377	0.83455	0.83377	0.83441	2262	0	1
2022.01.07	08:00:00	0.83441	0.83556	0.83419	0.83467	7934	0	1
2022.01.07	12:00:00	0.83466	0.83520	0.83398	0.83475	13020	0	1
2022.01.07	16:00:00	0.83475	0.83655	0.83468	0.83629	17267	0	1
2022.01.07	20:00:00	0.83631	0.83645	0.83531	0.83560	5334	0	1
2022.01.10	00:00:00	0.83498	0.83592	0.83480	0.83491	2830	0	1
2022.01.10	04:00:00	0.83491	0.83497	0.83417	0.83429	2512	0	1
2022.01.10	08:00:00	0.83430	0.83440	0.83349	0.83389	8708	0	1
2022.01.10	12:00:00	0.83389	0.83435	0.83318	0.83347	11095	0	1
2022.01.10	16:00:00	0.83347	0.83570	0.83329	0.83527	14551	0	1
2022.01.10	20:00:00	0.83527	0.83548	0.83401	0.83406	6791	0	1
2022.01.11	00:00:00	0.83380	0.83497	0.83373	0.83476	3558	0	1
2022.01.11	04:00:00	0.83476	0.83478	0.83394	0.83395	2815	0	1
2022.01.11	08:00:00	0.83395	0.83473	0.83232	0.83277	10547	0	1
2022.01.11	12:00:00	0.83277	0.83496	0.83252	0.83442	11407	0	1
2022.01.11	16:00:00	0.83440	0.83462	0.83332	0.83384	15277	0	1
2022.01.11	20:00:00	0.83384	0.83479	0.83346	0.83348	5864	0	1
2022.01.12	00:00:00	0.83332	0.83407	0.83316	0.83395	2244	0	2
2022.01.12	04:00:00	0.83395	0.83407	0.83341	0.83369	2226	0	1
2022.01.12	08:00:00	0.83369	0.83428	0.83299	0.83411	7320	0	1
2022.01.12	12:00:00	0.83410	0.83436	0.83280	0.83425	12323	0	1
2022.01.12	16:00:00	0.83424	0.83520	0.83356	0.83484	16748	0	1
2022.01.12	20:00:00	0.83484	0.83553	0.83458	0.83490	7081	0	1
2022.01.13	00:00:00	0.83432	0.83492	0.83413	0.83451	2841	0	1
2022.01.13	04:00:00	0.83450	0.83459	0.83402	0.83448	2591	0	1
2022.01.13	08:00:00	0.83448	0.83548	0.83403	0.83503	7818	0	1
2022.01.13	12:00:00	0.83502	0.83591	0.83365	0.83502	12597	0	1
2022.01.13	16:00:00	0.83502	0.83590	0.83380	0.83578	15944	0	1
2022.01.13	20:00:00	0.83578	0.83602	0.83531	0.83562	6813	0	1
2022.01.14	00:00:00	0.83531	0.83624	0.83444	0.83620	4459	0	1
2022.01.14	04:00:00	0.83620	0.83621	0.83552	0.83589	4064	0	1
2022.01.14	08:00:00	0.83589	0.83594	0.83421	0.83429	9908	0	1
2022.01.14	12:00:00	0.83429	0.83542	0.83421	0.83489	13061	0	1
2022.01.14	16:00:00	0.83489	0.83580	0.83462	0.83498	18672	0	1
2022.01.14	20:00:00	0.83498	0.83509	0.83417	0.83436	6147	0	1
2022.01.17	00:00:00	0.83398	0.83491	0.83332	0.83442	4638	0	1
2022.01.17	04:00:00	0.83441	0.83516	0.83430	0.83510	3417	0	1
2022.01.17	08:00:00	0.83510	0.83603	0.83456	0.83510	8056	0	1
2022.01.17	12:00:00	0.83510	0.83615	0.83442	0.83517	10598	0	1
2022.01.17	16:00:00	0.83517	0.83606	0.83482	0.83597	9995	0	1
2022.01.17	20:00:00	0.83597	0.83616	0.83572	0.83583	2301	0	1
2022.01.18	00:00:00	0.83553	0.83631	0.83520	0.83597	2568	0	2
2022.01.18	04:00:00	0.83594	0.83634	0.83557	0.83585	6585	0	1
2022.01.18	08:00:00	0.83585	0.83632	0.83498	0.83617	14001	0	1
2022.01.18	12:00:00	0.83617	0.83787	0.83597	0.83664	15138	0	1
2022.01.18	16:00:00	0.83663	0.83706	0.83387	0.83389	17579	0	1
2022.01.18	20:00:00	0.83389	0.83403	0.83263	0.83295	8822	0	1
2022.01.19	00:00:00	0.83284	0.83339	0.83216	0.83242	4165	0	1
2022.01.19	04:00:00	0.83242	0.83320	0.83234	0.83256	4158	0	1
2022.01.19	08:00:00	0.83256	0.83416	0.83234	0.83297	12515	0	1
2022.01.19	12:00:00	0.83298	0.83317	0.83132	0.83229	11593	0	1
2022.01.19	16:00:00	0.83228	0.83309	0.83128	0.83248	15142	0	1
2022.01.19	20:00:00	0.83248	0.83337	0.83229	0.83305	5426	0	1
2022.01.20	00:00:00	0.83314	0.83370	0.83270	0.83355	3646	0	1
2022.01.20	04:00:00	0.83354	0.83365	0.83289	0.83305	3539	0	1
2022.01.20	08:00:00	0.83304	0.83387	0.83220	0.83270	9460	0	1
2022.01.20	12:00:00	0.83269	0.83377	0.83242	0.83264	12399	0	1
2022.01.20	16:00:00	0.83264	0.83273	0.83051	0.83122	16293	0	1
2022.01.20	20:00:00	0.83122	0.83191	0.83056	0.83156	8583	0	1
2022.01.21	00:00:00	0.83142	0.83261	0.83131	0.83238	5569	0	1
2022.01.21	04:00:00	0.83237	0.83338	0.83226	0.83316	5558	0	1
2022.01.21	08:00:00	0.83316	0.83622	0.83314	0.83569	12160	0	1
2022.01.21	12:00:00	0.83569	0.83665	0.83517	0.83623	12266	0	1
2022.01.21	16:00:00	0.83623	0.83766	0.83616	0.83690	19222	0	1
2022.01.21	20:00:00	0.83691	0.83707	0.83624	0.83686	8527	0	1
2022.01.24	00:00:00	0.83621	0.83696	0.83594	0.83599	3697	0	1
2022.01.24	04:00:00	0.83599	0.83611	0.83538	0.83543	2903	0	2
2022.01.24	08:00:00	0.83546	0.83758	0.83509	0.83730	11274	0	1
2022.01.24	12:00:00	0.83733	0.83890	0.83720	0.83841	16088	0	1
2022.01.24	16:00:00	0.83841	0.84223	0.83778	0.84187	22002	0	1
2022.01.24	20:00:00	0.84187	0.84195	0.83920	0.83959	11807	0	1
2022.01.25	00:00:00	0.83913	0.84012	0.83887	0.83931	4579	0	1
2022.01.25	04:00:00	0.83931	0.83983	0.83910	0.83921	4171	0	1
2022.01.25	08:00:00	0.83920	0.83958	0.83671	0.83722	13065	0	1
2022.01.25	12:00:00	0.83722	0.83872	0.83691	0.83724	14679	0	1
2022.01.25	16:00:00	0.83725	0.83753	0.83583	0.83627	19110	0	1
2022.01.25	20:00:00	0.83627	0.83695	0.83580	0.83678	10193	0	1
2022.01.26	00:00:00	0.83642	0.83694	0.83593	0.83662	4848	0	1
2022.01.26	04:00:00	0.83662	0.83705	0.83621	0.83683	5114	0	1
2022.01.26	08:00:00	0.83683	0.83686	0.83548	0.83549	10027	0	1
2022.01.26	12:00:00	0.83548	0.83600	0.83415	0.83519	10540	0	1
2022.01.26	16:00:00	0.83520	0.83678	0.83441	0.83477	14938	0	1
2022.01.26	20:00:00	0.83477	0.83616	0.83469	0.83469	22295	0	1
2022.01.27	00:00:00	0.83473	0.83547	0.83418	0.83511	7116	0	1
2022.01.27	04:00:00	0.83511	0.83546	0.83491	0.83529	8640	0	1
2022.01.27	08:00:00	0.83530	0.83578	0.83375	0.83390	14505	0	1
2022.01.27	12:00:00	0.83389	0.83499	0.83289	0.83331	18298	0	1
2022.01.27	16:00:00	0.83330	0.83394	0.83206	0.83294	20630	0	1
2022.01.27	20:00:00	0.83294	0.83332	0.83240	0.83269	11713	0	1
2022.01.28	00:00:00	0.83240	0.83284	0.83166	0.83228	6949	0	1
2022.01.28	04:00:00	0.83228	0.83242	0.83139	0.83160	6034	0	1
2022.01.28	08:00:00	0.83160	0.83302	0.83119	0.83187	13355	0	1
2022.01.28	12:00:00	0.83187	0.83268	0.83121	0.83178	16301	0	1
2022.01.28	16:00:00	0.83178	0.83303	0.83054	0.83288	21380	0	1
2022.01.28	20:00:00	0.83288	0.83342	0.83183	0.83208	9548	0	1
2022.01.31	00:00:00	0.83134	0.83233	0.83129	0.83186	6742	0	1
2022.01.31	04:00:00	0.83185	0.83238	0.83174	0.83209	4554	0	1
2022.01.31	08:00:00	0.83209	0.83212	0.83103	0.83115	10820	0	1
2022.01.31	12:00:00	0.83116	0.83310	0.83051	0.83265	14508	0	1
2022.01.31	16:00:00	0.83265	0.83576	0.83245	0.83499	20320	0	1
2022.01.31	20:00:00	0.83499	0.83585	0.83493	0.83520	9030	0	1
2022.02.01	00:00:00	0.83518	0.83551	0.83442	0.83532	5245	0	2
