<DATE>	<TIME>	<OPEN>	<HIGH>	<LOW>	<CLOSE>	<TICKVOL>	<VOL>	<SPREAD>
2022.01.03	00:00:00	0.84000	0.84037	0.83892	0.84022	161	0	64
2022.01.03	00:30:00	0.84022	0.84075	0.83985	0.84018	536	0	45
2022.01.03	01:00:00	0.84017	0.84087	0.83999	0.84087	513	0	14
2022.01.03	01:30:00	0.84087	0.84104	0.84065	0.84103	418	0	10
2022.01.03	02:00:00	0.84103	0.84121	0.84044	0.84047	382	0	3
2022.01.03	02:30:00	0.84046	0.84058	0.84005	0.84057	657	0	2
2022.01.03	03:00:00	0.84058	0.84068	0.83995	0.83999	482	0	2
2022.01.03	03:30:00	0.83999	0.84031	0.83971	0.84023	655	0	2
2022.01.03	04:00:00	0.84024	0.84028	0.83984	0.84004	490	0	2
2022.01.03	04:30:00	0.84004	0.84018	0.83985	0.83989	549	0	2
2022.01.03	05:00:00	0.83991	0.84038	0.83985	0.84031	308	0	2
2022.01.03	05:30:00	0.84031	0.84069	0.84029	0.84068	438	0	1
2022.01.03	06:00:00	0.84068	0.84068	0.84007	0.84027	347	0	2
2022.01.03	06:30:00	0.84027	0.84034	0.84004	0.84013	234	0	3
2022.01.03	07:00:00	0.84013	0.84013	0.83991	0.83993	207	0	3
2022.01.03	07:30:00	0.83990	0.84009	0.83987	0.83992	271	0	3
2022.01.03	08:00:00	0.83993	0.84010	0.83973	0.84004	263	0	2
2022.01.03	08:30:00	0.84007	0.84011	0.83982	0.83984	310	0	3
2022.01.03	09:00:00	0.83986	0.84031	0.83969	0.83972	621	0	1
2022.01.03	09:30:00	0.83972	0.84045	0.83965	0.84022	858	0	2
2022.01.03	10:00:00	0.84022	0.84022	0.83898	0.83902	1404	0	1
2022.01.03	10:30:00	0.83902	0.83925	0.83867	0.83911	1328	0	1
2022.01.03	11:00:00	0.83909	0.83961	0.83877	0.83884	1220	0	1
2022.01.03	11:30:00	0.83883	0.84002	0.83866	0.83980	1280	0	1
2022.01.03	12:00:00	0.83980	0.84005	0.83965	0.83996	1044	0	1
2022.01.03	12:30:00	0.83996	0.84067	0.83993	0.84044	1018	0	1
2022.01.03	13:00:00	0.84042	0.84069	0.84010	0.84058	1196	0	2
2022.01.03	13:30:00	0.84058	0.84066	0.84019	0.84047	988	0	1
2022.01.03	14:00:00	0.84047	0.84077	0.84011	0.84060	1107	0	1
2022.01.03	14:30:00	0.84060	0.84101	0.84025	0.84097	1349	0	1
2022.01.03	15:00:00	0.84098	0.84183	0.84070	0.84162	1590	0	1
2022.01.03	15:30:00	0.84162	0.84182	0.84124	0.84157	1977	0	1
2022.01.03	16:00:00	0.84157	0.84167	0.84048	0.84061	2182	0	1
2022.01.03	16:30:00	0.84059	0.84083	0.83977	0.83994	3004	0	1
2022.01.03	17:00:00	0.83996	0.84066	0.83978	0.84036	2615	0	1
2022.01.03	17:30:00	0.84035	0.84103	0.83965	0.83967	2532	0	1
2022.01.03	18:00:00	0.83968	0.84053	0.83905	0.83911	2040	0	1
2022.01.03	18:30:00	0.83912	0.83929	0.83779	0.83829	2198	0	1
