<DATE>	<TIME>	<OPEN>	<HIGH>	<LOW>	<CLOSE>	<TICKVOL>	<VOL>	<SPREAD>
2022.01.03	00:00:00	1.13650	1.13738	1.13650	1.13730	446	0	13
2022.01.03	01:00:00	1.13724	1.13787	1.13693	1.13729	1329	0	0
2022.01.03	02:00:00	1.13730	1.13758	1.13611	1.13621	1156	0	0
2022.01.03	03:00:00	1.13621	1.13654	1.13501	1.13587	1517	0	0
2022.01.03	04:00:00	1.13587	1.13587	1.13425	1.13427	1258	0	0
2022.01.03	05:00:00	1.13429	1.13501	1.13413	1.13485	829	0	0
2022.01.03	06:00:00	1.13485	1.13492	1.13388	1.13406	762	0	0
2022.01.03	07:00:00	1.13407	1.13414	1.13362	1.13380	744	0	0
2022.01.03	08:00:00	1.13380	1.13463	1.13378	1.13433	893	0	0
2022.01.03	09:00:00	1.13433	1.13503	1.13351	1.13483	2327	0	0
2022.01.03	10:00:00	1.13483	1.13483	1.13355	1.13467	4043	0	0
2022.01.03	11:00:00	1.13466	1.13564	1.13358	1.13519	3575	0	0
2022.01.03	12:00:00	1.13519	1.13599	1.13507	1.13554	2820	0	0
2022.01.03	13:00:00	1.13554	1.13664	1.13517	1.13557	3276	0	0
2022.01.03	14:00:00	1.13558	1.13597	1.13467	1.13588	3631	0	0
2022.01.03	15:00:00	1.13591	1.13644	1.13461	1.13509	5393	0	0
2022.01.03	16:00:00	1.13509	1.13520	1.13001	1.13065	6370	0	0
2022.01.03	17:00:00	1.13065	1.13095	1.12905	1.12918	6554	0	0
2022.01.03	18:00:00	1.12919	1.12990	1.12829	1.12889	4723	0	0
2022.01.03	19:00:00	1.12889	1.12900	1.12797	1.12839	2021	0	0
2022.01.03	20:00:00	1.12840	1.12971	1.12834	1.12950	1166	0	0
2022.01.03	21:00:00	1.12950	1.12998	1.12939	1.12974	1324	0	0
2022.01.03	22:00:00	1.12974	1.13005	1.12939	1.12967	1483	0	0
2022.01.03	23:00:00	1.12965	1.12993	1.12945	1.12978	540	0	0
2022.01.04	00:00:00	1.12964	1.12966	1.12929	1.12949	2678	0	0
2022.01.04	01:00:00	1.12948	1.13024	1.12947	1.13019	670	0	0
2022.01.04	02:00:00	1.13020	1.13069	1.13016	1.13058	1079	0	0
2022.01.04	03:00:00	1.13058	1.13089	1.13015	1.13067	1284	0	0
2022.01.04	04:00:00	1.13067	1.13096	1.12999	1.13024	1270	0	0
2022.01.04	05:00:00	1.13024	1.13045	1.12956	1.12979	1359	0	0
2022.01.04	06:00:00	1.12979	1.13058	1.12965	1.13008	1098	0	0
2022.01.04	07:00:00	1.13008	1.13060	1.13006	1.13050	894	0	0
2022.01.04	08:00:00	1.13049	1.13072	1.12922	1.12934	1278	0	0
2022.01.04	09:00:00	1.12934	1.12944	1.12834	1.12917	2847	0	0
2022.01.04	10:00:00	1.12918	1.13006	1.12875	1.12897	4451	0	0
2022.01.04	11:00:00	1.12897	1.13083	1.12833	1.13021	4035	0	0
2022.01.04	12:00:00	1.13021	1.13057	1.12946	1.12948	3267	0	0
2022.01.04	13:00:00	1.12948	1.12964	1.12762	1.12762	4135	0	0
2022.01.04	14:00:00	1.12762	1.12836	1.12724	1.12732	4660	0	0
2022.01.04	15:00:00	1.12732	1.12900	1.12732	1.12802	4509	0	0
2022.01.04	16:00:00	1.12802	1.12882	1.12776	1.12852	4905	0	0
2022.01.04	17:00:00	1.12855	1.13226	1.12836	1.13093	8473	0	0
2022.01.04	18:00:00	1.13093	1.13158	1.12856	1.12947	5909	0	0
2022.01.04	19:00:00	1.12947	1.12962	1.12884	1.12938	1974	0	0
2022.01.04	20:00:00	1.12939	1.12944	1.12796	1.12803	1662	0	0
2022.01.04	21:00:00	1.12802	1.12931	1.12781	1.12878	1938	0	0
2022.01.04	22:00:00	1.12878	1.12896	1.12809	1.12847	1733	0	0
2022.01.04	23:00:00	1.12847	1.12879	1.12814	1.12876	797	0	0
2022.01.05	00:00:00	1.12812	1.12856	1.12812	1.12828	436	0	8
2022.01.05	01:00:00	1.12828	1.12868	1.12819	1.12831	573	0	0
2022.01.05	02:00:00	1.12830	1.12858	1.12772	1.12775	823	0	0
2022.01.05	03:00:00	1.12775	1.12888	1.12775	1.12858	1539	0	0
2022.01.05	04:00:00	1.12856	1.12943	1.12852	1.12923	1370	0	0
2022.01.05	05:00:00	1.12924	1.12970	1.12913	1.12958	725	0	0
2022.01.05	06:00:00	1.12958	1.12959	1.12885	1.12890	955	0	0
2022.01.05	07:00:00	1.12891	1.12949	1.12875	1.12940	735	0	0
2022.01.05	08:00:00	1.12938	1.13014	1.12931	1.12960	1093	0	0
2022.01.05	09:00:00	1.12959	1.13027	1.12948	1.12988	2212	0	0
2022.01.05	10:00:00	1.12988	1.13111	1.12967	1.13031	3789	0	0
2022.01.05	11:00:00	1.13031	1.13088	1.13001	1.13063	3553	0	0
2022.01.05	12:00:00	1.13063	1.13142	1.13045	1.13082	3764	0	0
2022.01.05	13:00:00	1.13082	1.13239	1.13066	1.13191	3143	0	0
2022.01.05	14:00:00	1.13192	1.13262	1.13049	1.13079	4427	0	0
2022.01.05	15:00:00	1.13080	1.13289	1.13033	1.13240	7788	0	0
2022.01.05	16:00:00	1.13239	1.13389	1.13212	1.13359	4874	0	0
2022.01.05	17:00:00	1.13358	1.13442	1.13326	1.13374	4958	0	0
2022.01.05	18:00:00	1.13373	1.13397	1.13229	1.13341	3485	0	0
2022.01.05	19:00:00	1.13342	1.13466	1.13334	1.13415	2396	0	0
2022.01.05	20:00:00	1.13414	1.13447	1.13358	1.13373	1467	0	0
2022.01.05	21:00:00	1.13373	1.13399	1.13082	1.13105	8920	0	0
2022.01.05	22:00:00	1.13106	1.13132	1.13023	1.13112	3241	0	0
2022.01.05	23:00:00	1.13112	1.13135	1.13080	1.13124	706	0	0
2022.01.06	00:00:00	1.13130	1.13134	1.13076	1.13086	1633	0	0
2022.01.06	01:00:00	1.13092	1.13143	1.13087	1.13107	690	0	0
2022.01.06	02:00:00	1.13107	1.13133	1.13077	1.13082	1014	0	0
2022.01.06	03:00:00	1.13084	1.13187	1.13050	1.13167	1611	0	0
2022.01.06	04:00:00	1.13167	1.13207	1.13122	1.13193	1725	0	0
2022.01.06	05:00:00	1.13191	1.13191	1.13087	1.13153	1524	0	0
2022.01.06	06:00:00	1.13152	1.13165	1.13115	1.13125	1242	0	0
2022.01.06	07:00:00	1.13125	1.13125	1.13072	1.13093	1295	0	0
2022.01.06	08:00:00	1.13093	1.13094	1.12963	1.12971	1691	0	0
2022.01.06	09:00:00	1.12970	1.12975	1.12847	1.12897	3671	0	0
2022.01.06	10:00:00	1.12898	1.13095	1.12849	1.12939	4654	0	0
2022.01.06	11:00:00	1.12939	1.13087	1.12888	1.13053	3914	0	0
2022.01.06	12:00:00	1.13053	1.13270	1.13046	1.13124	4757	0	0
2022.01.06	13:00:00	1.13124	1.13217	1.13023	1.13134	4237	0	0
2022.01.06	14:00:00	1.13134	1.13185	1.13049	1.13134	4616	0	0
2022.01.06	15:00:00	1.13134	1.13202	1.13031	1.13124	6524	0	0
2022.01.06	16:00:00	1.13125	1.13320	1.13064	1.13221	8158	0	0
2022.01.06	17:00:00	1.13221	1.13295	1.12929	1.12960	9144	0	0
2022.01.06	18:00:00	1.12959	1.13093	1.12903	1.13073	4988	0	0
2022.01.06	19:00:00	1.13072	1.13093	1.12935	1.12960	2696	0	0
2022.01.06	20:00:00	1.12959	1.12979	1.12883	1.12919	1748	0	0
2022.01.06	21:00:00	1.12919	1.12999	1.12868	1.12870	1854	0	0
2022.01.06	22:00:00	1.12869	1.12942	1.12863	1.12913	1577	0	0
2022.01.06	23:00:00	1.12913	1.12999	1.12873	1.12983	1020	0	0
2022.01.07	00:00:00	1.12966	1.12971	1.12908	1.12953	327	0	1
2022.01.07	01:00:00	1.12959	1.12983	1.12941	1.12950	881	0	0
2022.01.07	02:00:00	1.12950	1.12980	1.12901	1.12960	1003	0	0
2022.01.07	03:00:00	1.12960	1.13010	1.12960	1.13009	1204	0	0
2022.01.07	04:00:00	1.13010	1.13019	1.12953	1.12957	1105	0	0
2022.01.07	05:00:00	1.12958	1.13019	1.12957	1.12992	835	0	0
2022.01.07	06:00:00	1.12992	1.13034	1.12981	1.13008	630	0	0
2022.01.07	07:00:00	1.13009	1.13034	1.13000	1.13023	612	0	0
2022.01.07	08:00:00	1.13022	1.13034	1.12985	1.12992	842	0	0
2022.01.07	09:00:00	1.12992	1.13062	1.12982	1.13057	2142	0	0
2022.01.07	10:00:00	1.13057	1.13154	1.13016	1.13123	3424	0	0
2022.01.07	11:00:00	1.13123	1.13175	1.13096	1.13148	3295	0	0
2022.01.07	12:00:00	1.13151	1.13194	1.13035	1.13063	2652	0	0
2022.01.07	13:00:00	1.13063	1.13083	1.13010	1.13046	2379	0	0
2022.01.07	14:00:00	1.13046	1.13052	1.12963	1.12976	2610	0	0
2022.01.07	15:00:00	1.12972	1.13228	1.12924	1.13019	12902	0	0
2022.01.07	16:00:00	1.13019	1.13345	1.12990	1.13303	9569	0	0
2022.01.07	17:00:00	1.13303	1.13494	1.13297	1.13472	7161	0	0
2022.01.07	18:00:00	1.13472	1.13573	1.13377	1.13566	4516	0	0
2022.01.07	19:00:00	1.13566	1.13587	1.13496	1.13568	2356	0	0
2022.01.07	20:00:00	1.13567	1.13623	1.13548	1.13576	1431	0	0
2022.01.07	21:00:00	1.13573	1.13649	1.13568	1.13630	1180	0	0
2022.01.07	22:00:00	1.13630	1.13643	1.13575	1.13614	1214	0	0
2022.01.07	23:00:00	1.13614	1.13618	1.13583	1.13608	708	0	0
2022.01.10	00:00:00	1.13558	1.13581	1.13523	1.13559	910	0	17
2022.01.10	01:00:00	1.13559	1.13605	1.13497	1.13536	1320	0	0
2022.01.10	02:00:00	1.13535	1.13581	1.13516	1.13552	842	0	0
2022.01.10	03:00:00	1.13552	1.13566	1.13500	1.13503	984	0	0
2022.01.10	04:00:00	1.13504	1.13520	1.13393	1.13396	990	0	0
2022.01.10	05:00:00	1.13396	1.13397	1.13338	1.13377	838	0	0
2022.01.10	06:00:00	1.13376	1.13409	1.13334	1.13343	660	0	0
2022.01.10	07:00:00	1.13343	1.13355	1.13321	1.13350	443	0	0
2022.01.10	08:00:00	1.13349	1.13354	1.13265	1.13335	1030	0	0
2022.01.10	09:00:00	1.13336	1.13365	1.13272	1.13291	3171	0	0
2022.01.10	10:00:00	1.13292	1.13363	1.13208	1.13358	5743	0	0
2022.01.10	11:00:00	1.13358	1.13447	1.13258	1.13267	3831	0	0
2022.01.10	12:00:00	1.13267	1.13343	1.13226	1.13298	3754	0	0
2022.01.10	13:00:00	1.13298	1.13364	1.13223	1.13256	3631	0	0
2022.01.10	14:00:00	1.13256	1.13296	1.13119	1.13162	4546	0	0
2022.01.10	15:00:00	1.13162	1.13244	1.12951	1.12971	6821	0	0
2022.01.10	16:00:00	1.12971	1.12981	1.12850	1.12974	7133	0	0
2022.01.10	17:00:00	1.12974	1.13274	1.12928	1.13187	7539	0	0
2022.01.10	18:00:00	1.13188	1.13289	1.13162	1.13277	5155	0	0
2022.01.10	19:00:00	1.13277	1.13349	1.13276	1.13287	2744	0	0
2022.01.10	20:00:00	1.13287	1.13313	1.13210	1.13223	2240	0	0
2022.01.10	21:00:00	1.13225	1.13271	1.13202	1.13235	1855	0	0
2022.01.10	22:00:00	1.13235	1.13302	1.13223	1.13263	1955	0	0
2022.01.10	23:00:00	1.13263	1.13302	1.13252	1.13281	838	0	0
2022.01.11	00:00:00	1.13205	1.13284	1.13190	1.13265	559	0	1
2022.01.11	01:00:00	1.13259	1.13327	1.13259	1.13301	677	0	0
2022.01.11	02:00:00	1.13298	1.13350	1.13286	1.13331	1024	0	0
2022.01.11	03:00:00	1.13331	1.13419	1.13325	1.13365	1981	0	0
2022.01.11	04:00:00	1.13365	1.13438	1.13347	1.13382	1390	0	0
2022.01.11	05:00:00	1.13381	1.13427	1.13372	1.13417	1289	0	0
2022.01.11	06:00:00	1.13417	1.13417	1.13379	1.13409	931	0	0
2022.01.11	07:00:00	1.13410	1.13444	1.13385	1.13390	874	0	0
2022.01.11	08:00:00	1.13389	1.13436	1.13316	1.13362	1676	0	0
2022.01.11	09:00:00	1.13367	1.13447	1.13350	1.13416	3363	0	0
2022.01.11	10:00:00	1.13415	1.13518	1.13393	1.13494	4372	0	0
2022.01.11	11:00:00	1.13494	1.13520	1.13288	1.13335	3962	0	0
2022.01.11	12:00:00	1.13335	1.13391	1.13264	1.13304	3597	0	0
2022.01.11	13:00:00	1.13304	1.13437	1.13260	1.13388	3283	0	0
2022.01.11	14:00:00	1.13390	1.13423	1.13306	1.13313	4158	0	0
2022.01.11	15:00:00	1.13313	1.13387	1.13233	1.13260	4782	0	0
2022.01.11	16:00:00	1.13260	1.13304	1.13130	1.13235	5789	0	0
2022.01.11	17:00:00	1.13235	1.13454	1.13230	1.13405	6160	0	0
2022.01.11	18:00:00	1.13405	1.13687	1.13404	1.13620	5064	0	0
2022.01.11	19:00:00	1.13621	1.13634	1.13530	1.13543	2483	0	0
2022.01.11	20:00:00	1.13542	1.13686	1.13522	1.13668	1954	0	0
2022.01.11	21:00:00	1.13668	1.13754	1.13629	1.13669	1779	0	0
2022.01.11	22:00:00	1.13668	1.13695	1.13641	1.13658	1639	0	0
2022.01.11	23:00:00	1.13657	1.13696	1.13651	1.13686	758	0	0
2022.01.12	00:00:00	1.13673	1.13685	1.13651	1.13682	192	0	0
2022.01.12	01:00:00	1.13685	1.13711	1.13654	1.13660	663	0	0
2022.01.12	02:00:00	1.13661	1.13735	1.13660	1.13711	808	0	0
2022.01.12	03:00:00	1.13710	1.13722	1.13643	1.13701	1355	0	0
2022.01.12	04:00:00	1.13701	1.13737	1.13680	1.13721	1012	0	0
2022.01.12	05:00:00	1.13720	1.13757	1.13715	1.13748	683	0	0
2022.01.12	06:00:00	1.13748	1.13752	1.13727	1.13728	658	0	0
2022.01.12	07:00:00	1.13727	1.13782	1.13727	1.13733	935	0	0
2022.01.12	08:00:00	1.13732	1.13751	1.13643	1.13643	1006	0	0
2022.01.12	09:00:00	1.13643	1.13677	1.13553	1.13585	2618	0	0
2022.01.12	10:00:00	1.13585	1.13693	1.13551	1.13670	3666	0	0
2022.01.12	11:00:00	1.13670	1.13736	1.13624	1.13672	3416	0	0
2022.01.12	12:00:00	1.13672	1.13684	1.13548	1.13575	3077	0	0
2022.01.12	13:00:00	1.13575	1.13653	1.13563	1.13617	2799	0	0
2022.01.12	14:00:00	1.13618	1.13668	1.13598	1.13636	3349	0	0
2022.01.12	15:00:00	1.13634	1.14154	1.13612	1.14100	10945	0	0
2022.01.12	16:00:00	1.14100	1.14182	1.13947	1.14158	8172	0	0
2022.01.12	17:00:00	1.14159	1.14252	1.14122	1.14209	7538	0	0
2022.01.12	18:00:00	1.14209	1.14321	1.14189	1.14314	5123	0	0
2022.01.12	19:00:00	1.14314	1.14454	1.14287	1.14440	2824	0	0
2022.01.12	20:00:00	1.14441	1.14453	1.14386	1.14389	1973	0	0
2022.01.12	21:00:00	1.14387	1.14529	1.14384	1.14501	2507	0	0
2022.01.12	22:00:00	1.14501	1.14511	1.14445	1.14500	1729	0	0
2022.01.12	23:00:00	1.14500	1.14505	1.14397	1.14414	899	0	0
2022.01.13	00:00:00	1.14415	1.14425	1.14397	1.14409	196	0	2
2022.01.13	01:00:00	1.14405	1.14450	1.14397	1.14397	641	0	0
2022.01.13	02:00:00	1.14396	1.14483	1.14393	1.14414	1398	0	0
2022.01.13	03:00:00	1.14414	1.14450	1.14359	1.14390	1620	0	0
2022.01.13	04:00:00	1.14390	1.14460	1.14383	1.14422	1108	0	0
2022.01.13	05:00:00	1.14422	1.14436	1.14359	1.14423	1147	0	0
2022.01.13	06:00:00	1.14423	1.14474	1.14423	1.14425	796	0	0
2022.01.13	07:00:00	1.14425	1.14464	1.14407	1.14412	829	0	0
2022.01.13	08:00:00	1.14412	1.14430	1.14385	1.14387	1193	0	0
2022.01.13	09:00:00	1.14387	1.14666	1.14387	1.14650	3559	0	0
2022.01.13	10:00:00	1.14650	1.14784	1.14623	1.14664	4966	0	0
2022.01.13	11:00:00	1.14663	1.14750	1.14585	1.14714	3877	0	0
2022.01.13	12:00:00	1.14716	1.14777	1.14576	1.14608	4075	0	0
2022.01.13	13:00:00	1.14608	1.14698	1.14587	1.14627	3419	0	0
2022.01.13	14:00:00	1.14628	1.14699	1.14533	1.14588	4454	0	0
2022.01.13	15:00:00	1.14588	1.14721	1.14580	1.14721	5974	0	0
2022.01.13	16:00:00	1.14722	1.14817	1.14683	1.14739	5649	0	0
2022.01.13	17:00:00	1.14737	1.14777	1.14473	1.14609	7424	0	0
2022.01.13	18:00:00	1.14608	1.14720	1.14569	1.14654	4732	0	0
2022.01.13	19:00:00	1.14654	1.14674	1.14551	1.14615	3139	0	0
2022.01.13	20:00:00	1.14615	1.14665	1.14577	1.14587	2195	0	0
2022.01.13	21:00:00	1.14587	1.14654	1.14575	1.14617	2164	0	0
2022.01.13	22:00:00	1.14617	1.14624	1.14509	1.14523	2382	0	0
2022.01.13	23:00:00	1.14523	1.14556	1.14511	1.14543	788	0	0
2022.01.14	00:00:00	1.14540	1.14572	1.14540	1.14546	792	0	6
2022.01.14	01:00:00	1.14561	1.14595	1.14543	1.14566	768	0	0
2022.01.14	02:00:00	1.14566	1.14588	1.14514	1.14565	1500	0	0
2022.01.14	03:00:00	1.14565	1.14682	1.14563	1.14663	2328	0	0
2022.01.14	04:00:00	1.14663	1.14714	1.14626	1.14714	2044	0	0
2022.01.14	05:00:00	1.14713	1.14759	1.14691	1.14739	1824	0	0
2022.01.14	06:00:00	1.14739	1.14767	1.14712	1.14738	1005	0	0
2022.01.14	07:00:00	1.14738	1.14829	1.14737	1.14790	1488	0	0
2022.01.14	08:00:00	1.14788	1.14808	1.14692	1.14698	1841	0	0
2022.01.14	09:00:00	1.14698	1.14724	1.14603	1.14660	3270	0	0
2022.01.14	10:00:00	1.14660	1.14748	1.14625	1.14685	4666	0	0
2022.01.14	11:00:00	1.14685	1.14691	1.14573	1.14583	4120	0	0
2022.01.14	12:00:00	1.14583	1.14611	1.14541	1.14569	2486	0	0
2022.01.14	13:00:00	1.14567	1.14594	1.14485	1.14522	2733	0	0
2022.01.14	14:00:00	1.14521	1.14564	1.14421	1.14437	4279	0	0
2022.01.14	15:00:00	1.14437	1.14552	1.14334	1.14383	8372	0	0
2022.01.14	16:00:00	1.14383	1.14501	1.14301	1.14421	8912	0	0
2022.01.14	17:00:00	1.14421	1.14425	1.14240	1.14333	8437	0	0
2022.01.14	18:00:00	1.14332	1.14359	1.14091	1.14144	5150	0	0
2022.01.14	19:00:00	1.14143	1.14143	1.13986	1.14022	3650	0	0
2022.01.14	20:00:00	1.14022	1.14115	1.14014	1.14099	1944	0	0
2022.01.14	21:00:00	1.14099	1.14178	1.14069	1.14153	1536	0	0
2022.01.14	22:00:00	1.14154	1.14178	1.14133	1.14148	1430	0	0
2022.01.14	23:00:00	1.14147	1.14166	1.14123	1.14148	1148	0	0
2022.01.17	00:00:00	1.14143	1.14155	1.14121	1.14154	255	0	15
