<DATE>	<TIME>	<OPEN>	<HIGH>	<LOW>	<CLOSE>	<TICKVOL>	<VOL>	<SPREAD>
2022.01.03	00:00:00	1.35256	1.35306	1.35215	1.35246	144	0	57
2022.01.03	00:30:00	1.35267	1.35336	1.35237	1.35281	248	0	52
2022.01.03	01:00:00	1.35302	1.35328	1.35222	1.35229	344	0	13
2022.01.03	01:30:00	1.35229	1.35237	1.35194	1.35206	188	0	11
2022.01.03	02:00:00	1.35208	1.35253	1.35202	1.35233	306	0	2
2022.01.03	02:30:00	1.35234	1.35248	1.35165	1.35167	377	0	0
2022.01.03	03:00:00	1.35167	1.35295	1.35155	1.35256	468	0	2
2022.01.03	03:30:00	1.35256	1.35256	1.35149	1.35179	1069	0	1
2022.01.03	04:00:00	1.35180	1.35180	1.35062	1.35102	569	0	0
2022.01.03	04:30:00	1.35101	1.35118	1.35035	1.35042	345	0	2
2022.01.03	05:00:00	1.35043	1.35063	1.34980	1.34988	258	0	3
2022.01.03	05:30:00	1.34994	1.35016	1.34946	1.34989	512	0	0
2022.01.03	06:00:00	1.34989	1.35054	1.34962	1.35050	261	0	1
2022.01.03	06:30:00	1.35050	1.35051	1.34949	1.34979	267	0	6
2022.01.03	07:00:00	1.34979	1.35005	1.34963	1.34967	218	0	1
2022.01.03	07:30:00	1.34967	1.35001	1.34949	1.34983	337	0	2
2022.01.03	08:00:00	1.34983	1.35030	1.34972	1.35000	328	0	3
2022.01.03	08:30:00	1.35000	1.35073	1.34999	1.35048	377	0	1
2022.01.03	09:00:00	1.35058	1.35066	1.34964	1.35005	628	0	1
2022.01.03	09:30:00	1.35005	1.35058	1.34960	1.35055	707	0	1
2022.01.03	10:00:00	1.35055	1.35139	1.35027	1.35117	1350	0	2
2022.01.03	10:30:00	1.35117	1.35229	1.35110	1.35222	1102	0	0
2022.01.03	11:00:00	1.35221	1.35280	1.35164	1.35164	797	0	3
2022.01.03	11:30:00	1.35164	1.35216	1.35125	1.35168	1317	0	0
2022.01.03	12:00:00	1.35168	1.35245	1.35167	1.35188	1137	0	0
2022.01.03	12:30:00	1.35188	1.35188	1.35087	1.35110	1052	0	0
2022.01.03	13:00:00	1.35113	1.35219	1.35098	1.35153	1029	0	1
2022.01.03	13:30:00	1.35153	1.35179	1.35079	1.35103	867	0	1
2022.01.03	14:00:00	1.35103	1.35122	1.35024	1.35060	874	0	0
2022.01.03	14:30:00	1.35060	1.35070	1.35004	1.35053	1040	0	1
2022.01.03	15:00:00	1.35052	1.35062	1.34914	1.35005	1839	0	0
2022.01.03	15:30:00	1.35005	1.35011	1.34831	1.34868	1937	0	0
2022.01.03	16:00:00	1.34868	1.34919	1.34681	1.34734	1812	0	0
2022.01.03	16:30:00	1.34733	1.34866	1.34545	1.34601	2660	0	0
2022.01.03	17:00:00	1.34604	1.34647	1.34367	1.34405	2799	0	0
2022.01.03	17:30:00	1.34407	1.34485	1.34308	1.34464	2525	0	1
2022.01.03	18:00:00	1.34464	1.34574	1.34362	1.34573	2009	0	0
2022.01.03	18:30:00	1.34565	1.34689	1.34545	1.34661	1694	0	0
2022.01.03	19:00:00	1.34661	1.34758	1.34655	1.34693	1203	0	0
2022.01.03	19:30:00	1.34694	1.34768	1.34676	1.34710	640	0	0
2022.01.03	20:00:00	1.34711	1.34792	1.34700	1.34765	725	0	0
2022.01.03	20:30:00	1.34765	1.34835	1.34765	1.34790	669	0	1
2022.01.03	21:00:00	1.34789	1.34856	1.34774	1.34844	906	0	2
2022.01.03	21:30:00	1.34844	1.34854	1.34783	1.34843	776	0	0
2022.01.03	22:00:00	1.34843	1.34852	1.34767	1.34787	825	0	0
2022.01.03	22:30:00	1.34787	1.34808	1.34738	1.34788	850	0	2
2022.01.03	23:00:00	1.34788	1.34817	1.34756	1.34790	383	0	6
2022.01.03	23:30:00	1.34790	1.34810	1.34763	1.34786	330	0	10
2022.01.04	00:00:00	1.34763	1.34778	1.34653	1.34740	157	0	33
