<DATE>	<TIME>	<OPEN>	<HIGH>	<LOW>	<CLOSE>	<TICKVOL>	<VOL>	<SPREAD>
2022.01.03	00:00:00	1.26347	1.26646	1.26280	1.26620	4196	0	0
2022.01.03	04:00:00	1.26620	1.26856	1.26613	1.26798	3692	0	0
2022.01.03	08:00:00	1.26798	1.26860	1.26665	1.26801	5787	0	0
2022.01.03	12:00:00	1.26802	1.27193	1.26743	1.27159	6589	0	0
2022.01.03	16:00:00	1.27157	1.27788	1.27145	1.27551	14002	0	0
2022.01.03	20:00:00	1.27550	1.27580	1.27435	1.27438	5476	0	0
2022.01.04	00:00:00	1.27426	1.27550	1.27368	1.27526	4979	0	0
2022.01.04	04:00:00	1.27525	1.27537	1.27228	1.27230	3315	0	0
2022.01.04	08:00:00	1.27230	1.27489	1.27230	1.27456	7404	0	0
2022.01.04	12:00:00	1.27455	1.27657	1.27261	1.27285	7332	0	0
2022.01.04	16:00:00	1.27285	1.27312	1.26673	1.26923	13536	0	0
2022.01.04	20:00:00	1.26923	1.27194	1.26923	1.27055	5355	0	0
2022.01.05	00:00:00	1.27055	1.27104	1.26905	1.27100	4191	0	0
2022.01.05	04:00:00	1.27100	1.27256	1.27081	1.27239	3428	0	0
2022.01.05	08:00:00	1.27239	1.27239	1.27069	1.27127	5976	0	0
2022.01.05	12:00:00	1.27126	1.27400	1.27055	1.27076	9047	0	0
2022.01.05	16:00:00	1.27076	1.27207	1.26911	1.27080	12346	0	0
2022.01.05	20:00:00	1.27080	1.27663	1.26962	1.27551	13339	0	0
2022.01.06	00:00:00	1.27523	1.27744	1.27470	1.27655	5169	0	0
2022.01.06	04:00:00	1.27654	1.27977	1.27653	1.27882	6343	0	0
2022.01.06	08:00:00	1.27886	1.28133	1.27815	1.27845	9786	0	0
2022.01.06	12:00:00	1.27845	1.27862	1.27547	1.27641	12325	0	0
2022.01.06	16:00:00	1.27640	1.27860	1.27066	1.27187	22307	0	0
2022.01.06	20:00:00	1.27187	1.27398	1.27159	1.27268	9249	0	0
2022.01.07	00:00:00	1.27218	1.27298	1.27062	1.27084	4317	0	0
2022.01.07	04:00:00	1.27084	1.27236	1.27080	1.27107	4157	0	0
2022.01.07	08:00:00	1.27106	1.27308	1.27082	1.27132	8760	0	0
2022.01.07	12:00:00	1.27132	1.27274	1.26789	1.27223	11107	0	0
2022.01.07	16:00:00	1.27223	1.27262	1.26419	1.26474	19720	0	0
2022.01.07	20:00:00	1.26476	1.26519	1.26318	1.26426	7007	0	0
2022.01.10	00:00:00	1.26351	1.26558	1.26325	1.26379	4825	0	1
2022.01.10	04:00:00	1.26380	1.26494	1.26343	1.26426	3579	0	0
2022.01.10	08:00:00	1.26426	1.26527	1.26155	1.26241	9656	0	0
2022.01.10	12:00:00	1.26241	1.26676	1.26106	1.26638	9667	0	0
2022.01.10	16:00:00	1.26638	1.26960	1.26625	1.26937	17596	0	0
2022.01.10	20:00:00	1.26937	1.26973	1.26699	1.26753	8364	0	0
2022.01.11	00:00:00	1.26753	1.26787	1.26589	1.26662	4934	0	0
2022.01.11	04:00:00	1.26662	1.26687	1.26450	1.26485	5700	0	0
2022.01.11	08:00:00	1.26485	1.26657	1.26305	1.26403	13464	0	0
2022.01.11	12:00:00	1.26404	1.26588	1.26337	1.26494	11062	0	0
2022.01.11	16:00:00	1.26494	1.26639	1.25861	1.25877	19111	0	0
2022.01.11	20:00:00	1.25876	1.25921	1.25669	1.25719	7031	0	0
