<DATE>	<TIME>	<OPEN>	<HIGH>	<LOW>	<CLOSE>	<TICKVOL>	<VOL>	<SPREAD>
2022.01.03	00:00:00	1.26347	1.26361	1.26284	1.26324	59	0	58
2022.01.03	00:15:00	1.26289	1.26434	1.26289	1.26389	409	0	41
2022.01.03	00:30:00	1.26383	1.26396	1.26337	1.26337	318	0	56
2022.01.03	00:45:00	1.26365	1.26367	1.26337	1.26344	40	0	56
2022.01.03	01:00:00	1.26360	1.26387	1.26280	1.26359	259	0	20
2022.01.03	01:15:00	1.26361	1.26366	1.26329	1.26332	187	0	15
2022.01.03	01:30:00	1.26332	1.26437	1.26329	1.26434	259	0	7
2022.01.03	01:45:00	1.26432	1.26597	1.26429	1.26592	366	0	9
2022.01.03	02:00:00	1.26592	1.26592	1.26480	1.26533	332	0	2
2022.01.03	02:15:00	1.26535	1.26540	1.26497	1.26513	359	0	4
2022.01.03	02:30:00	1.26515	1.26540	1.26507	1.26509	240	0	3
2022.01.03	02:45:00	1.26509	1.26541	1.26505	1.26537	228	0	4
2022.01.03	03:00:00	1.26537	1.26549	1.26482	1.26484	375	0	1
2022.01.03	03:15:00	1.26484	1.26500	1.26446	1.26478	218	0	0
2022.01.03	03:30:00	1.26477	1.26619	1.26463	1.26586	232	0	1
2022.01.03	03:45:00	1.26585	1.26646	1.26585	1.26620	315	0	2
2022.01.03	04:00:00	1.26620	1.26703	1.26613	1.26659	543	0	1
2022.01.03	04:15:00	1.26659	1.26669	1.26643	1.26654	210	0	0
2022.01.03	04:30:00	1.26654	1.26741	1.26650	1.26688	431	0	2
2022.01.03	04:45:00	1.26688	1.26742	1.26667	1.26733	323	0	4
2022.01.03	05:00:00	1.26733	1.26773	1.26709	1.26771	136	0	0
2022.01.03	05:15:00	1.26770	1.26794	1.26755	1.26771	219	0	2
2022.01.03	05:30:00	1.26772	1.26856	1.26772	1.26830	220	0	1
2022.01.03	05:45:00	1.26830	1.26830	1.26764	1.26784	218	0	1
2022.01.03	06:00:00	1.26784	1.26801	1.26713	1.26724	241	0	1
2022.01.03	06:15:00	1.26720	1.26726	1.26695	1.26700	162	0	2
2022.01.03	06:30:00	1.26700	1.26733	1.26688	1.26733	135	0	2
2022.01.03	06:45:00	1.26732	1.26801	1.26732	1.26764	215	0	3
2022.01.03	07:00:00	1.26762	1.26805	1.26759	1.26793	156	0	1
2022.01.03	07:15:00	1.26790	1.26815	1.26772	1.26812	153	0	0
2022.01.03	07:30:00	1.26813	1.26817	1.26778	1.26778	161	0	0
2022.01.03	07:45:00	1.26778	1.26823	1.26775	1.26798	169	0	1
2022.01.03	08:00:00	1.26798	1.26825	1.26754	1.26824	134	0	0
2022.01.03	08:15:00	1.26823	1.26856	1.26816	1.26831	118	0	3
2022.01.03	08:30:00	1.26830	1.26847	1.26774	1.26838	261	0	1
2022.01.03	08:45:00	1.26838	1.26852	1.26771	1.26781	283	0	0
2022.01.03	09:00:00	1.26781	1.26860	1.26778	1.26817	331	0	3
2022.01.03	09:15:00	1.26817	1.26833	1.26797	1.26831	302	0	1
2022.01.03	09:30:00	1.26831	1.26848	1.26811	1.26822	212	0	2
2022.01.03	09:45:00	1.26822	1.26823	1.26748	1.26754	348	0	1
2022.01.03	10:00:00	1.26754	1.26781	1.26665	1.26708	822	0	0
2022.01.03	10:15:00	1.26709	1.26723	1.26691	1.26693	362	0	1
2022.01.03	10:30:00	1.26693	1.26739	1.26668	1.26729	415	0	0
2022.01.03	10:45:00	1.26729	1.26740	1.26705	1.26716	381	0	0
2022.01.03	11:00:00	1.26719	1.26764	1.26710	1.26715	499	0	1
2022.01.03	11:15:00	1.26719	1.26757	1.26704	1.26756	388	0	0
2022.01.03	11:30:00	1.26756	1.26809	1.26752	1.26801	534	0	1
2022.01.03	11:45:00	1.26799	1.26838	1.26792	1.26801	397	0	3
2022.01.03	12:00:00	1.26802	1.26806	1.26761	1.26774	403	0	1
2022.01.03	12:15:00	1.26773	1.26773	1.26743	1.26761	378	0	3
2022.01.03	12:30:00	1.26761	1.26779	1.26759	1.26779	236	0	3
2022.01.03	12:45:00	1.26780	1.26813	1.26775	1.26807	339	0	0
2022.01.03	13:00:00	1.26807	1.26847	1.26793	1.26837	571	0	2
2022.01.03	13:15:00	1.26836	1.26838	1.26786	1.26813	247	0	2
2022.01.03	13:30:00	1.26813	1.26838	1.26799	1.26821	396	0	2
2022.01.03	13:45:00	1.26816	1.26845	1.26816	1.26827	407	0	1
2022.01.03	14:00:00	1.26827	1.26858	1.26821	1.26851	386	0	1
2022.01.03	14:15:00	1.26851	1.26857	1.26809	1.26812	444	0	1
2022.01.03	14:30:00	1.26812	1.26843	1.26809	1.26842	219	0	1
2022.01.03	14:45:00	1.26842	1.26849	1.26799	1.26816	192	0	1
2022.01.03	15:00:00	1.26815	1.27011	1.26815	1.27011	482	0	1
2022.01.03	15:15:00	1.27011	1.27090	1.27011	1.27035	635	0	1
2022.01.03	15:30:00	1.27029	1.27159	1.27029	1.27119	675	0	1
2022.01.03	15:45:00	1.27122	1.27193	1.27121	1.27159	579	0	3
2022.01.03	16:00:00	1.27157	1.27252	1.27145	1.27234	521	0	0
2022.01.03	16:15:00	1.27235	1.27400	1.27229	1.27386	685	0	0
2022.01.03	16:30:00	1.27386	1.27485	1.27311	1.27325	1310	0	0
2022.01.03	16:45:00	1.27324	1.27467	1.27314	1.27392	1519	0	0
2022.01.03	17:00:00	1.27390	1.27488	1.27339	1.27452	1569	0	0
2022.01.03	17:15:00	1.27452	1.27591	1.27419	1.27579	1132	0	0
2022.01.03	17:30:00	1.27578	1.27694	1.27574	1.27657	1226	0	0
2022.01.03	17:45:00	1.27661	1.27788	1.27661	1.27726	1155	0	0
2022.01.03	18:00:00	1.27723	1.27732	1.27588	1.27608	919	0	0
2022.01.03	18:15:00	1.27608	1.27617	1.27556	1.27577	647	0	1
2022.01.03	18:30:00	1.27575	1.27630	1.27561	1.27597	734	0	2
2022.01.03	18:45:00	1.27598	1.27598	1.27520	1.27563	689	0	1
2022.01.03	19:00:00	1.27563	1.27587	1.27500	1.27577	814	0	0
2022.01.03	19:15:00	1.27580	1.27594	1.27553	1.27557	501	0	0
2022.01.03	19:30:00	1.27557	1.27571	1.27527	1.27531	293	0	0
2022.01.03	19:45:00	1.27531	1.27567	1.27507	1.27551	288	0	1
2022.01.03	20:00:00	1.27550	1.27557	1.27498	1.27507	300	0	1
2022.01.03	20:15:00	1.27510	1.27520	1.27494	1.27502	275	0	1
2022.01.03	20:30:00	1.27502	1.27513	1.27470	1.27471	208	0	1
2022.01.03	20:45:00	1.27471	1.27500	1.27436	1.27438	285	0	0
2022.01.03	21:00:00	1.27438	1.27524	1.27438	1.27503	535	0	2
2022.01.03	21:15:00	1.27505	1.27530	1.27488	1.27526	440	0	3
